GEOID,County_Name,NOAA_CDD_Recent5yr,NOAA_CDD_Trend_perDecade,NOAA_Tmax_Summer_Recent5yr_F,NOAA_Tmax_Summer_Trend_perDecade_F,NOAA_Heat_Data_Recent_Year,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,SOVI_SCORE,RESL_SCORE,EAL_SCORE,NOAA_Tmax_Trend_Positive,Heat_Climate_Stress_Index,Heat_Climate_Data_Coverage_Pct,Heat_Climate_Source
17065,Hamilton County,1411.2,-63.893,87.1,-1.132,2024,9.315789473684193,44.05908798972383,Relatively Low,345049.06984929735,Relatively Low,15.178013741411617,15.80788804,75.12722646310432,43.7190594059406,0.0,41.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17067,Hancock County,1142.6,-55.714,84.08,-1.371,2024,9.157894736842112,80.44315992292871,Relatively Moderate,1285504.86882264,Relatively Low,41.5365396627108,64.82188295,61.35496183206107,28.18688118811881,0.0,50.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17069,Hardin County,1443.2,-108.714,86.52,-2.207,2024,9.47368421052631,34.48940269749518,Very Low,146841.22873968733,Very Low,11.648969394128668,58.90585242,25.44529262086514,6.868811881188119,0.0,35.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17071,Henderson County,1081.8,-23.357,84.16,-0.654,2024,9.000000000000005,52.15157353885678,Relatively Low,306838.02809616947,Relatively Low,28.638351030605868,77.06743003,37.11832061068702,12.685643564356436,0.0,33.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17073,Henry County,962.8,-29.964,83.44,-0.632,2024,7.000000000000003,70.23121387283237,Relatively Low,1160923.5980578603,Relatively Low,5.4653341661461585,14.75826972,83.81043256997455,66.67698019801979,0.0,29.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17075,Iroquois County,946.2,-48.429,83.74,-0.946,2024,4.736842105263159,43.99486191393706,Relatively Low,288703.3125579191,Relatively Low,77.01436602123673,33.96946565,65.45801526717557,75.83539603960396,0.0,38.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17077,Jackson County,1417.6,-87.607,86.88,-2.064,2024,10.578947368421051,90.68721901091843,Relatively Moderate,2421844.1242747568,Relatively Moderate,13.241723922548406,76.59033079,65.20356234096693,83.69430693069307,0.0,60.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17079,Jasper County,1222.6,-64.857,84.42,-2.05,2024,7.894736842105271,37.21901091843288,Very Low,271741.76252786233,Relatively Low,10.118675827607746,11.38676845,74.61832061068702,35.117574257425744,0.0,25.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17081,Jefferson County,1383.2,-1.071,87.06,-0.386,2024,9.894736842105258,81.27809890815672,Relatively Moderate,1474737.2164238663,Relatively Low,12.336039975015616,52.8307888,79.1030534351145,76.05198019801979,0.0,56.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17083,Jersey County,1371.6,-28.714,86.44,-0.936,2024,11.104691671525243,79.28709055876686,Relatively Moderate,2275947.17868908,Relatively Moderate,9.931292941911305,10.62340967,82.82442748091603,38.459158415841586,0.0,52.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17085,Jo Daviess County,792.4,-28.679,82.38,-0.479,2024,4.736842105263157,48.683365446371226,Relatively Low,330105.1942322766,Relatively Low,53.778888194878206,48.7913486,59.541984732824424,52.103960396039604,0.0,26.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17087,Johnson County,1422.0,-111.821,86.4,-2.239,2024,10.473684210526335,68.85035324341683,Relatively Low,623348.402768656,Relatively Low,17.801374141161773,81.96564885,47.55089058524173,42.11014851485149,0.0,51.3,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17089,Kane County,848.0,1.179,82.96,-0.211,2024,3.1690046286394833,90.01284521515736,Relatively Moderate,3696987.657564207,Relatively Moderate,70.08119925046846,16.98473282,63.74045801526718,95.60643564356435,0.0,52.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17091,Kankakee County,936.8,-37.786,83.72,-0.411,2024,4.421346669168855,77.68143866409763,Relatively Low,1255117.093942418,Relatively Low,70.95565271705185,49.96819338,83.7150127226463,87.4381188118812,0.0,51.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
