GEOID,County_Name,Water_Stress_Index,Aqueduct_BWS_Score,Aqueduct_Drought_Score,Aqueduct_GWDecline_Score,Aqueduct_OverallPowerRisk_Score,Aqueduct_DefaultOverall_Score,Aqueduct_Coverage_Pct,Aqueduct_Source
17161,Rock Island County,41.28,1.821,2.644,,1.745,1.486,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17163,St. Clair County,42.11,1.894,2.797,,1.517,1.382,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17165,Saline County,19.74,0.0,2.625,,0.889,0.762,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17167,Sangamon County,32.6,1.03,2.821,,1.246,0.967,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17169,Schuyler County,21.58,0.0,2.813,,1.066,0.826,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17171,Scott County,21.26,0.0,2.816,,0.976,0.795,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17173,Shelby County,45.21,2.152,2.823,,1.612,1.483,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17175,Stark County,45.84,2.151,2.831,,1.769,1.642,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17177,Stephenson County,59.91,3.509,2.494,,2.461,2.167,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17179,Tazewell County,38.85,1.558,2.813,,1.517,1.259,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17181,Union County,24.45,0.358,2.715,,1.04,0.895,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17183,Vermilion County,40.6,1.787,2.686,,1.583,1.325,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17185,Wabash County,20.31,0.0,2.701,,0.916,0.762,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17187,Warren County,30.93,0.834,2.859,,1.258,1.106,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17189,Washington County,49.81,2.553,2.818,,1.778,1.676,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17191,Wayne County,36.9,1.441,2.821,,1.295,1.196,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17193,White County,30.88,0.93,2.764,,1.149,1.037,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17195,Whiteside County,55.36,3.097,2.534,,2.28,1.996,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17197,Will County,60.74,3.519,2.746,,2.238,1.969,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17199,Williamson County,42.06,1.897,2.752,,1.573,1.479,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17201,Winnebago County,61.81,3.681,2.478,,2.536,2.238,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17203,Woodford County,39.7,1.63,2.812,,1.554,1.299,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
