GEOID,County_Name,EJScreen_BlockGroup_Count,EJScreen_Pop_Weighted_Minority_Pct,EJScreen_Pop_Weighted_LowIncome_Pct,EJScreen_Pop_Weighted_PM25,EJScreen_Pop_Weighted_Ozone,EJScreen_Pop_Weighted_DieselPM,EJScreen_Pop_Weighted_PM25_Pctl,EJScreen_Pop_Weighted_Ozone_Pctl,EJScreen_Pop_Weighted_DieselPM_Pctl,EJScreen_Pop_Weighted_CancerRisk_Pctl,EJScreen_Pop_Weighted_RespHazard_Pctl,EJScreen_Pop_Weighted_TrafficProx_Pctl,EJScreen_Pollution_Burden_Index,EJScreen_Demographic_Burden_Index,EJScreen_Justice_Index,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,CDC_SVI_Overall_Pctl,CDC_SVI_Theme1_SES_Pctl,CDC_SVI_Theme2_HHDisability_Pctl,CDC_SVI_Theme3_MinorityLanguage_Pctl,CDC_SVI_Theme4_HousingTransport_Pctl,Justice_EJ_Burden_Index,Justice_CDC_SVI_Index,Social_Environmental_Justice_Index,Justice_Data_Coverage_Pct,Justice_Source
17027,Clinton County,31,8.47,23.12,9.1,48.43,0.22,67.63,86.19,23.41,27.27,24.35,17.84,41.11,15.8,30.99,37549,16.4,17.8,9.8,4.4,3.1,4.1,5.9,13.21,7.99,9.29,28.55,50.7,30.99,13.21,21.76,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17029,Coles County,51,9.0,42.35,9.01,47.02,0.24,65.1,82.23,26.1,16.92,16.36,43.73,41.74,25.68,35.32,51065,29.7,25.9,9.1,8.2,6.8,7.0,7.7,54.07,67.57,6.33,30.01,87.68,35.32,54.07,45.4,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17031,Cook County,3993,57.54,33.2,9.39,46.69,1.02,77.49,80.24,88.98,73.58,68.6,61.53,75.07,45.37,63.19,5169517,21.8,31.8,12.3,17.7,7.0,8.7,1.8,80.04,75.4,39.5,91.6,87.62,63.19,80.04,94.68,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17033,Crawford County,20,11.88,29.59,9.01,46.47,0.21,64.94,79.58,20.93,34.47,21.34,21.18,40.41,20.74,32.54,18833,20.3,20.2,13.9,5.9,4.0,6.8,12.7,41.57,33.13,29.54,29.28,74.86,32.54,41.57,36.18,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17035,Cumberland County,11,3.29,30.0,9.08,47.23,0.21,67.18,83.01,20.38,16.23,15.54,17.79,36.69,16.64,28.67,10787,19.8,14.7,8.1,3.2,2.3,4.9,1.2,1.75,6.24,7.96,2.39,6.05,28.67,1.75,13.62,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17037,DeKalb County,60,22.8,33.68,8.53,45.1,0.35,48.74,71.77,44.18,19.92,17.36,38.72,40.11,28.24,35.36,104588,21.6,30.1,7.9,6.5,6.6,5.1,4.3,49.52,50.45,18.36,60.85,67.54,35.36,49.52,43.48,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17039,De Witt County,15,5.29,26.76,8.97,46.86,0.21,63.78,81.65,21.69,13.61,12.86,33.27,37.81,16.03,29.1,15764,20.8,19.2,7.3,3.4,4.8,3.9,1.7,4.39,16.01,5.47,12.6,5.44,29.1,4.39,15.35,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17041,Douglas County,19,9.59,31.36,8.83,46.65,0.22,59.36,80.51,23.42,14.38,44.95,19.25,40.31,20.48,32.38,19551,21.3,23.0,16.5,13.0,3.2,15.9,1.0,53.53,59.8,38.29,32.18,61.08,32.38,53.53,41.16,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17043,DuPage County,617,32.7,17.61,9.65,46.43,0.77,84.95,79.24,84.26,65.53,56.45,58.46,71.48,25.16,52.95,926005,10.7,23.6,6.7,4.0,4.4,5.4,1.4,21.99,16.68,18.52,72.37,29.89,52.95,21.99,55.51,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17045,Edgar County,20,3.02,30.8,8.85,45.84,0.22,59.73,75.83,23.4,14.98,16.37,30.33,36.78,16.91,28.83,17272,19.7,19.5,10.0,9.3,4.5,4.8,2.0,25.21,20.31,54.61,1.69,40.61,28.83,25.21,24.02,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17047,Edwards County,8,3.41,28.52,9.02,46.28,0.19,65.17,78.46,17.15,24.54,20.96,33.0,39.88,15.96,30.31,6431,20.0,15.9,7.8,5.1,7.7,6.1,0.8,23.49,26.96,70.78,2.39,15.44,30.31,23.49,25.29,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17049,Effingham County,25,4.08,28.47,9.13,48.05,0.26,68.95,85.49,29.68,22.49,21.56,34.3,43.74,16.27,32.75,34151,19.2,14.9,6.9,6.5,2.6,5.4,1.5,21.29,5.7,50.03,5.89,66.26,32.75,21.29,27.66,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17051,Fayette County,23,7.9,42.97,8.98,48.0,0.22,63.91,85.39,22.42,19.49,18.11,26.69,39.33,25.44,33.77,21418,25.6,19.3,13.5,4.2,4.4,7.7,7.4,47.26,44.21,65.66,24.09,50.48,33.77,47.26,40.33,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17053,Ford County,16,6.16,32.42,8.51,45.41,0.21,47.79,73.51,20.18,9.99,9.31,15.27,29.34,19.29,25.32,13155,22.5,20.4,8.8,6.3,4.4,4.9,3.0,24.28,23.42,45.13,20.94,28.77,25.32,24.28,18.83,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17055,Franklin County,41,4.09,42.81,9.33,46.79,0.26,75.66,81.27,28.97,34.21,30.18,35.06,47.56,23.45,37.92,38688,31.0,24.7,11.2,7.8,7.2,5.7,1.3,54.71,68.71,60.5,5.89,47.8,37.92,54.71,49.22,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17057,Fulton County,43,8.1,36.92,8.76,46.35,0.2,57.08,78.86,19.81,13.83,12.41,28.87,35.14,22.51,30.09,34654,23.0,19.2,10.7,5.1,6.8,5.7,7.0,23.3,40.67,11.55,26.58,24.82,30.09,23.3,24.91,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17059,Gallatin County,7,4.29,42.75,8.94,45.63,0.18,62.69,74.65,16.41,30.07,28.74,13.81,37.73,23.52,32.05,4983,31.3,18.9,13.4,7.1,8.7,3.4,0.2,48.28,54.2,90.13,6.43,24.28,32.05,48.28,38.43,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17061,Greene County,17,3.57,36.17,8.72,46.66,0.21,55.79,80.62,20.82,23.66,20.72,26.84,38.08,19.87,30.8,12988,22.7,18.5,7.2,3.3,2.9,5.6,2.2,5.44,12.99,23.17,3.02,5.22,30.8,5.44,18.12,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17063,Grundy County,34,13.48,20.34,8.6,45.91,0.35,51.09,76.23,43.78,18.47,21.69,37.71,41.49,16.91,31.66,50798,13.4,20.3,6.4,4.1,4.4,3.6,0.8,7.99,8.56,27.47,43.95,6.52,31.66,7.99,20.4,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17065,Hamilton County,10,3.66,27.97,9.04,46.28,0.19,65.89,78.48,17.77,24.88,22.36,5.18,35.76,15.82,27.78,8151,24.7,17.0,13.5,5.7,3.5,8.4,1.4,31.19,33.58,65.79,5.06,28.17,27.78,31.19,25.18,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17067,Hancock County,22,3.74,31.7,8.5,45.05,0.2,47.37,71.47,19.81,13.89,12.93,19.58,30.84,17.72,25.59,17820,21.8,13.4,6.6,5.2,5.6,3.6,1.5,8.91,13.62,29.44,5.47,11.39,25.59,8.91,12.53,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17069,Hardin County,6,5.39,38.32,8.89,45.36,0.19,61.27,73.24,18.08,33.29,39.21,,45.02,21.86,35.76,3890,23.3,8.1,13.3,7.6,6.3,5.5,2.8,30.49,34.91,40.17,3.85,42.62,35.76,30.49,35.76,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17071,Henderson County,9,3.83,29.96,8.41,44.78,0.21,44.43,69.59,21.24,11.02,11.34,12.39,28.34,16.9,23.76,6737,16.3,13.9,8.0,2.9,6.2,4.2,0.8,2.71,13.91,9.01,6.43,2.71,23.76,2.71,7.34,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17073,Henry County,52,9.38,27.19,8.57,44.7,0.22,50.16,68.72,23.52,11.01,11.29,25.3,31.66,18.28,26.31,49032,17.5,16.9,7.6,5.8,4.2,4.5,1.4,11.68,8.98,43.35,31.89,12.99,26.31,11.68,14.71,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17075,Iroquois County,32,9.92,34.15,8.35,44.8,0.23,42.1,69.72,24.07,9.41,9.25,24.54,29.85,22.04,26.73,27437,22.9,23.0,11.9,4.7,5.7,6.2,1.7,38.13,50.89,66.1,33.55,13.46,26.73,38.13,26.77,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17077,Jackson County,53,25.84,49.07,9.4,46.88,0.27,78.0,81.73,31.12,44.61,35.37,39.2,51.67,37.46,45.99,57517,35.2,32.9,7.4,12.2,8.9,6.9,6.8,78.9,77.91,29.31,63.53,95.13,45.99,78.9,70.73,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17079,Jasper County,13,2.83,28.97,9.08,47.09,0.2,67.17,82.7,18.67,17.51,16.22,5.6,34.65,15.9,27.15,9547,19.7,19.3,7.4,5.4,4.4,6.7,0.8,21.58,19.41,60.6,0.86,26.45,27.15,21.58,20.15,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17081,Jefferson County,37,14.32,37.69,9.19,47.13,0.28,70.83,82.75,32.31,29.53,27.85,30.02,45.55,26.0,37.73,37774,24.0,22.1,10.9,6.9,6.2,6.2,5.8,71.74,50.32,75.02,46.05,90.29,37.73,71.74,56.36,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17083,Jersey County,18,4.11,23.04,8.96,48.07,0.28,63.45,85.46,32.82,36.92,30.62,27.72,46.17,13.58,33.13,21776,14.6,19.8,6.9,2.9,4.3,3.9,4.6,3.41,9.17,5.28,6.43,10.69,33.13,3.41,20.42,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17085,Jo Daviess County,26,5.22,24.74,7.68,41.77,0.21,24.15,41.56,21.29,8.6,8.32,28.07,22.0,14.98,19.19,21429,17.0,21.2,7.6,5.4,2.4,5.1,0.9,8.94,10.31,33.48,11.81,11.97,19.19,8.94,3.81,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17087,Johnson County,12,15.51,44.43,9.14,46.27,0.2,69.03,78.39,19.43,35.06,30.23,11.14,40.55,29.97,36.32,12391,20.2,17.8,17.7,4.4,3.7,4.0,18.1,29.12,22.95,30.49,44.43,46.47,36.32,29.12,35.93,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17089,Kane County,274,42.67,25.57,9.12,46.21,0.57,68.76,78.05,70.16,34.3,36.23,45.44,55.49,34.12,46.94,531756,15.2,25.5,14.3,4.3,5.0,8.2,1.0,49.4,50.99,49.71,82.24,28.9,46.94,49.4,59.22,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17091,Kankakee County,84,27.83,30.99,8.51,45.35,0.34,47.89,73.2,41.75,22.22,25.99,47.06,43.02,29.41,37.58,109924,22.3,28.6,11.7,7.2,5.4,5.4,5.0,69.7,54.58,64.0,66.3,80.3,37.58,69.7,55.27,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17093,Kendall County,39,29.69,18.4,8.99,46.12,0.43,64.45,77.51,55.33,26.64,27.06,39.35,48.39,24.04,38.65,127583,6.7,21.8,7.7,2.5,4.1,4.3,0.3,12.22,11.08,50.38,70.27,2.93,38.65,12.22,31.77,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17095,Knox County,58,17.01,39.79,8.62,45.29,0.31,51.96,72.88,37.72,13.97,14.15,40.87,38.59,28.4,34.51,50052,29.0,24.5,11.3,9.7,5.2,5.2,8.7,64.23,55.44,45.64,51.15,83.04,34.51,64.23,48.71,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17097,Lake County,402,37.81,22.38,8.44,46.93,0.51,45.92,81.47,64.03,54.93,28.0,47.55,53.65,30.1,44.23,699682,13.6,23.7,9.2,5.0,5.3,6.4,2.7,46.63,31.6,41.88,78.55,57.42,44.23,46.63,54.32,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17099,LaSalle County,105,14.2,30.2,8.55,45.67,0.29,49.48,74.87,34.94,19.33,16.33,34.86,38.3,22.2,31.86,108998,20.3,21.4,10.4,5.5,6.0,4.0,3.1,38.26,33.04,49.78,45.74,39.5,31.86,38.26,33.82,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17101,Lawrence County,18,15.31,39.97,9.01,46.49,0.2,65.13,79.73,18.76,21.61,19.44,21.73,37.73,27.64,33.69,15830,24.3,16.9,15.0,3.8,4.6,7.8,15.0,48.06,40.87,32.91,46.56,71.36,33.69,48.06,40.57,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17103,Lee County,38,13.55,27.96,8.38,44.23,0.25,43.24,64.09,28.4,12.98,11.94,32.59,32.2,20.76,27.62,34204,19.6,22.2,10.4,9.3,3.3,3.6,9.7,31.89,18.71,26.83,43.41,69.67,27.62,31.89,25.27,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
