GEOID,County_Name,EJScreen_BlockGroup_Count,EJScreen_Pop_Weighted_Minority_Pct,EJScreen_Pop_Weighted_LowIncome_Pct,EJScreen_Pop_Weighted_PM25,EJScreen_Pop_Weighted_Ozone,EJScreen_Pop_Weighted_DieselPM,EJScreen_Pop_Weighted_PM25_Pctl,EJScreen_Pop_Weighted_Ozone_Pctl,EJScreen_Pop_Weighted_DieselPM_Pctl,EJScreen_Pop_Weighted_CancerRisk_Pctl,EJScreen_Pop_Weighted_RespHazard_Pctl,EJScreen_Pop_Weighted_TrafficProx_Pctl,EJScreen_Pollution_Burden_Index,EJScreen_Demographic_Burden_Index,EJScreen_Justice_Index,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,CDC_SVI_Overall_Pctl,CDC_SVI_Theme1_SES_Pctl,CDC_SVI_Theme2_HHDisability_Pctl,CDC_SVI_Theme3_MinorityLanguage_Pctl,CDC_SVI_Theme4_HousingTransport_Pctl,Justice_EJ_Burden_Index,Justice_CDC_SVI_Index,Social_Environmental_Justice_Index,Justice_Data_Coverage_Pct,Justice_Source
17127,Massac County,14,11.54,40.48,9.19,46.04,0.28,70.95,77.03,32.21,42.62,46.6,22.66,48.68,26.01,39.61,14041,26.0,23.6,11.3,6.3,5.6,7.1,2.3,58.56,57.96,34.5,39.34,78.01,39.61,58.56,53.2,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17129,Menard County,13,4.33,24.95,8.99,46.73,0.19,64.3,81.01,17.58,15.26,14.14,,38.46,14.64,28.93,12261,14.1,13.6,4.8,4.1,4.9,2.4,1.0,1.65,3.66,18.27,7.03,2.99,28.93,1.65,13.93,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17131,Mercer County,19,4.46,25.35,8.37,44.39,0.19,43.0,66.13,17.97,10.4,10.81,14.77,27.18,14.9,22.27,15503,18.7,19.0,7.8,4.9,4.1,3.5,1.4,5.98,10.66,19.86,9.07,8.34,22.27,5.98,6.73,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17133,Monroe County,15,3.58,14.08,8.82,47.04,0.36,58.8,82.34,44.68,48.77,42.16,37.67,52.4,8.83,34.97,34444,7.2,17.6,4.2,2.9,2.4,2.5,0.7,0.16,0.38,4.74,3.02,0.76,34.97,0.16,21.52,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17135,Montgomery County,28,7.98,33.53,8.92,47.69,0.22,62.15,84.55,23.24,19.64,18.54,30.58,39.78,20.76,32.17,28598,23.9,19.7,11.9,6.7,4.5,4.0,10.5,25.05,29.03,8.78,21.48,57.7,32.17,25.05,28.51,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17137,Morgan County,35,11.5,34.27,8.81,46.33,0.24,58.65,78.77,26.61,18.78,16.91,32.55,38.71,22.88,32.38,34012,24.5,23.4,10.2,7.5,5.5,3.8,9.3,52.45,40.87,53.82,38.45,73.17,32.38,52.45,40.69,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17139,Moultrie County,14,3.13,28.65,9.01,47.56,0.2,64.81,84.13,19.2,13.92,13.14,24.06,36.55,15.89,28.29,14557,17.5,16.7,14.0,12.9,3.1,14.2,2.4,35.58,32.94,26.1,2.39,75.56,28.29,35.58,27.79,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17141,Ogle County,44,12.95,28.33,8.29,44.0,0.25,40.39,61.75,28.0,12.33,12.22,27.31,30.33,20.64,26.45,50793,18.3,20.4,9.6,6.7,6.2,4.4,1.2,34.85,27.82,56.02,43.41,36.22,26.45,34.85,24.96,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17143,Peoria County,141,29.89,34.44,9.22,47.41,0.38,72.02,83.59,47.76,28.11,23.74,48.92,50.69,32.16,43.28,181111,24.0,25.4,8.2,9.6,7.6,6.2,2.9,67.85,55.7,61.43,69.29,74.35,43.28,67.85,62.24,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17145,Perry County,22,14.15,35.2,9.28,47.18,0.23,73.85,82.98,23.88,31.62,26.77,27.5,44.43,24.68,36.53,21092,26.2,19.4,16.8,7.6,5.7,3.7,12.5,60.31,45.96,53.28,43.67,85.07,36.53,60.31,49.76,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17147,Piatt County,17,3.66,18.68,8.85,46.8,0.21,59.78,81.27,21.18,13.31,13.86,23.33,35.45,11.17,25.74,16412,10.2,16.1,6.2,2.2,3.7,3.9,0.5,0.35,2.16,8.12,4.58,0.86,25.74,0.35,9.01,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17149,Pike County,20,4.17,38.6,8.61,45.71,0.2,51.86,75.08,19.99,20.1,18.4,19.52,34.16,21.38,29.05,15571,26.5,19.8,10.3,6.4,5.5,5.8,2.8,37.84,41.22,74.73,6.43,26.61,29.05,37.84,29.8,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17151,Pope County,4,9.04,35.95,9.03,45.82,0.2,65.51,75.67,18.81,34.74,37.83,,46.51,22.5,36.91,4177,30.6,18.6,11.2,8.4,6.8,2.2,5.5,50.86,43.28,75.88,34.21,47.87,36.91,50.86,46.17,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17153,Pulaski County,8,36.36,51.63,9.21,46.33,0.25,71.57,78.77,27.14,36.16,34.62,11.73,43.33,44.0,43.6,5414,34.7,16.7,10.4,10.3,6.5,4.7,0.8,52.71,44.43,68.33,75.3,37.36,43.6,52.71,56.1,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17155,Putnam County,8,7.76,22.73,8.67,45.89,0.24,53.75,76.1,26.23,12.27,11.11,7.81,31.21,15.24,24.82,5720,14.1,14.7,7.0,3.7,2.7,2.8,0.1,1.62,1.11,29.09,26.13,1.5,24.82,1.62,8.31,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17157,Randolph County,33,14.99,34.61,9.19,47.23,0.28,71.01,83.01,32.7,44.34,35.82,26.57,48.91,24.8,39.27,31973,24.9,17.6,15.2,6.6,4.4,4.9,12.0,41.63,32.46,32.72,46.56,63.78,39.27,41.63,45.38,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17159,Richland County,14,4.58,37.06,9.04,46.67,0.22,66.05,80.69,22.5,19.68,17.99,29.42,39.39,20.82,31.96,15677,21.1,14.7,9.0,6.5,4.7,3.5,2.0,30.65,13.69,84.31,10.66,44.43,31.96,30.65,30.65,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17161,Rock Island County,116,27.98,33.54,8.55,44.3,0.35,49.44,65.21,43.33,22.77,27.97,50.02,43.12,30.76,38.18,142801,22.0,22.9,11.1,8.3,5.8,5.6,3.4,68.91,45.64,84.5,66.55,73.42,38.18,68.91,55.74,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17163,St. Clair County,199,38.14,33.11,9.13,48.83,0.44,68.84,86.71,54.39,55.51,47.38,45.09,59.66,35.62,50.04,261186,22.9,27.9,8.3,8.7,5.4,5.9,1.4,55.44,47.99,55.98,78.26,47.36,50.04,55.44,66.07,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17165,Saline County,29,8.48,44.52,9.06,45.95,0.25,66.37,76.51,27.43,34.14,32.3,20.66,42.9,26.5,36.34,23735,30.6,22.2,12.6,9.9,7.9,5.7,2.0,74.12,66.65,82.97,27.02,78.99,36.34,74.12,55.49,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17167,Sangamon County,180,19.55,29.16,9.21,47.17,0.34,71.75,82.89,41.26,27.44,24.17,48.24,49.29,24.36,39.32,195963,21.0,23.2,7.5,7.8,5.0,3.7,2.1,43.03,25.59,51.15,55.19,62.38,39.32,43.03,46.06,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17169,Schuyler County,8,9.4,37.44,8.54,45.73,0.18,49.06,75.22,15.68,14.92,12.88,21.29,31.51,23.42,28.27,6897,22.9,16.9,9.0,4.2,7.2,8.2,11.8,41.09,40.39,53.63,21.48,45.64,28.27,41.09,30.15,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17171,Scott County,5,2.93,29.23,8.68,46.15,0.19,54.35,77.72,17.41,18.47,16.85,8.54,32.23,16.08,25.77,4982,18.9,14.4,6.1,3.6,3.6,3.1,1.0,1.78,3.79,29.98,2.39,2.04,25.77,1.78,9.68,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17173,Shelby County,25,2.67,32.21,9.03,47.87,0.19,65.49,85.12,17.73,14.92,13.79,22.38,36.57,17.44,28.92,21623,18.7,16.2,6.6,3.2,4.0,3.8,1.0,6.4,6.27,12.0,1.05,25.08,28.92,6.4,15.98,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17175,Stark County,8,4.24,32.42,8.68,45.71,0.2,54.31,75.13,18.85,9.64,8.37,,33.26,18.33,27.29,5393,22.0,15.3,10.5,3.4,3.2,5.0,1.8,1.94,14.04,6.14,11.81,1.4,27.29,1.94,11.82,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17177,Stephenson County,49,17.1,36.73,7.93,42.74,0.22,30.25,49.53,22.73,9.63,8.62,31.48,25.38,26.92,26.0,44683,24.2,24.1,7.9,9.0,6.8,5.1,1.8,55.16,46.59,74.79,52.1,46.94,26.0,55.16,33.16,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17179,Tazewell County,86,5.9,24.47,9.28,47.43,0.28,73.93,83.73,32.72,20.97,17.67,37.97,44.5,15.18,32.77,132524,15.7,18.6,6.8,6.0,4.2,4.5,2.0,9.48,8.34,16.07,16.55,26.7,32.77,9.48,22.56,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17181,Union County,16,8.97,39.13,9.29,46.53,0.23,74.48,79.93,23.85,36.65,30.53,25.47,45.15,24.05,36.71,16829,27.6,19.3,10.8,7.8,5.2,6.2,2.8,51.72,42.46,48.79,29.28,77.21,36.71,51.72,46.27,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17183,Vermilion County,66,21.5,39.38,8.63,45.09,0.28,52.57,71.71,32.74,16.75,15.29,40.98,38.34,30.44,35.18,76704,29.0,21.4,10.4,9.4,5.8,5.5,3.5,65.82,49.27,76.54,57.86,70.91,35.18,65.82,50.31,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17185,Wabash County,14,5.66,31.2,9.05,46.27,0.21,66.29,78.41,20.78,23.99,21.25,35.53,41.04,18.43,32.0,11390,23.7,18.3,8.4,10.3,4.4,6.1,0.8,40.96,23.36,87.27,14.45,47.64,32.0,40.96,35.18,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17187,Warren County,22,16.63,32.98,8.49,44.93,0.22,47.22,70.73,22.76,11.13,10.77,23.56,31.03,24.8,28.54,16981,21.1,16.8,12.0,5.7,8.5,5.6,6.7,53.28,39.27,57.92,50.06,68.81,28.54,53.28,35.81,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17189,Washington County,19,3.87,23.6,9.15,47.87,0.22,69.63,85.03,23.26,25.69,23.53,18.63,40.96,13.74,30.07,13967,13.3,16.6,8.4,3.4,5.2,2.7,1.8,5.09,9.55,17.19,4.26,9.01,30.07,5.09,16.98,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17191,Wayne County,19,3.73,35.96,9.02,46.57,0.2,65.3,80.14,18.84,22.41,20.26,23.73,38.45,19.84,31.01,16309,23.5,18.0,12.5,9.0,3.7,10.5,0.4,43.86,38.19,63.21,3.44,60.12,31.01,43.86,35.09,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17193,White County,16,3.48,35.95,9.0,46.05,0.2,64.53,77.15,18.98,26.18,23.71,27.4,39.66,19.72,31.68,13712,28.6,17.8,9.1,6.7,6.0,6.2,2.9,43.83,40.29,71.74,3.44,48.73,31.68,43.83,35.99,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17195,Whiteside County,63,15.27,30.58,8.34,43.62,0.28,41.88,57.76,32.2,12.01,13.26,33.53,31.77,22.92,28.23,55583,16.9,20.0,8.7,5.1,3.7,5.4,1.9,25.49,14.1,73.71,47.77,20.88,28.23,25.49,23.32,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17197,Will County,393,35.78,19.09,9.26,46.74,0.58,73.14,80.97,70.67,37.57,41.21,45.0,58.09,27.44,45.83,689704,11.7,22.6,8.5,3.3,4.9,5.1,1.3,24.12,20.11,40.61,76.23,14.96,45.83,24.12,46.73,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17199,Williamson County,56,10.11,33.92,9.37,46.7,0.27,77.09,80.79,30.96,37.62,33.07,33.82,48.89,22.02,38.14,66929,22.4,22.9,7.6,6.9,5.3,5.8,3.1,43.0,34.21,68.97,34.21,41.47,38.14,43.0,44.44,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17201,Winnebago County,263,30.36,35.25,8.32,43.94,0.35,41.19,60.95,43.37,25.05,19.25,52.77,40.43,32.8,37.38,283635,25.4,26.3,12.2,8.6,7.8,6.1,1.5,76.29,69.64,85.93,70.43,54.84,37.38,76.29,57.85,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
17203,Woodford County,30,4.44,20.6,8.99,47.05,0.22,64.49,82.27,22.27,13.27,11.53,21.74,35.93,12.52,26.57,38503,12.2,18.1,5.5,3.8,3.6,4.2,2.8,2.26,3.28,13.3,7.03,8.08,26.57,2.26,10.98,100.0,EPA EJScreen Feature Service (Esri US Federal Data catalog) + CDC/ATSDR SVI 2020 USA Feature Service (data_cdc)
