GEOID,County_Name,FAA_Airport_Count,FAA_Airports_With_Operations,FAA_Airports_With_Enplanements,FAA_Airport_Operations_Total,FAA_Enplanements_Total,FAA_Passengers_Total,FAA_Airport_Density_per_1000km2,FAA_Noise_Exposure_Index,Chicago_311_Noise_AnnualAvg_Recent3yr,Chicago_311_Noise_Total_Recent3yr,Chicago_311_Industrial_Total_Recent3yr,Chicago_311_Noise_per_100k,EPA_TRI_Facility_Count,EPA_TRI_Active_Facility_Count,EPA_TRI_Facility_Density_per_1000km2,EPA_TRI_Active_Facilities_per_100k,EPA_TRI_Industrial_Pressure_Index,Noise_Community_Impact_Index,Noise_Community_Data_Year_Max,Noise_Community_Recent_Window,Noise_Community_Source
17051,Fayette County,5.0,1.0,0.0,9950.0,0.0,0.0,2.66,41.5,0.0,0.0,0.0,0.0,6.0,5.0,2.66,23.27,33.6,32.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17053,Ford County,6.0,2.0,0.0,6200.0,0.0,0.0,4.76,45.7,0.0,0.0,0.0,0.0,4.0,4.0,3.18,29.56,33.7,32.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17055,Franklin County,5.0,1.0,0.0,8000.0,0.0,0.0,4.47,45.9,0.0,0.0,0.0,0.0,11.0,9.0,8.05,23.81,41.4,35.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17057,Fulton County,5.0,1.0,0.0,19000.0,0.0,0.0,2.19,41.9,0.0,0.0,0.0,0.0,4.0,3.0,1.31,8.93,24.6,29.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17059,Gallatin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.18,20.22,22.2,3.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17061,Greene County,2.0,0.0,0.0,0.0,0.0,0.0,1.41,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17063,Grundy County,6.0,2.0,0.0,44300.0,0.0,0.0,5.38,54.0,0.0,0.0,0.0,0.0,20.0,19.0,17.04,36.17,51.5,37.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17065,Hamilton County,3.0,1.0,0.0,1000.0,0.0,0.0,2.66,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17067,Hancock County,14.0,0.0,0.0,0.0,0.0,0.0,6.64,18.3,0.0,0.0,0.0,0.0,3.0,3.0,1.42,17.03,27.4,17.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17069,Hardin County,1.0,0.0,0.0,0.0,0.0,0.0,2.13,6.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17071,Henderson County,2.0,0.0,0.0,0.0,0.0,0.0,1.95,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17073,Henry County,6.0,2.0,0.0,17000.0,0.0,0.0,2.81,43.9,0.0,0.0,0.0,0.0,11.0,10.0,4.68,20.29,39.6,31.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17075,Iroquois County,10.0,0.0,0.0,0.0,0.0,0.0,3.45,11.3,0.0,0.0,0.0,0.0,6.0,6.0,2.07,22.16,33.9,15.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17077,Jackson County,6.0,1.0,1.0,77961.0,12.0,138.0,3.85,55.4,0.0,0.0,0.0,0.0,10.0,10.0,6.41,18.88,40.4,44.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17079,Jasper County,2.0,1.0,0.0,400.0,0.0,0.0,1.55,25.3,0.0,0.0,0.0,0.0,4.0,4.0,3.1,43.07,35.3,20.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17081,Jefferson County,5.0,1.0,0.0,20056.0,0.0,0.0,3.31,46.1,0.0,0.0,0.0,0.0,10.0,7.0,4.63,18.86,36.7,34.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17083,Jersey County,7.0,0.0,0.0,0.0,0.0,0.0,7.16,19.2,0.0,0.0,0.0,0.0,1.0,1.0,1.02,4.65,16.0,14.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17085,Jo Daviess County,6.0,2.0,0.0,3450.0,0.0,0.0,3.74,41.1,0.0,0.0,0.0,0.0,10.0,8.0,4.99,36.31,40.7,29.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17087,Johnson County,2.0,0.0,0.0,0.0,0.0,0.0,2.21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17089,Kane County,18.0,1.0,0.0,75328.0,0.0,0.0,13.26,66.4,0.0,0.0,0.0,0.0,161.0,152.0,111.96,29.43,74.2,51.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17091,Kankakee County,16.0,2.0,0.0,61000.0,0.0,0.0,9.07,61.1,0.0,0.0,0.0,0.0,39.0,37.0,20.97,34.42,57.2,46.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17093,Kendall County,6.0,0.0,0.0,0.0,0.0,0.0,7.19,19.2,0.0,0.0,0.0,0.0,8.0,7.0,8.39,5.31,33.7,18.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17095,Knox County,5.0,2.0,0.0,24000.0,0.0,0.0,2.68,44.7,0.0,0.0,0.0,0.0,8.0,7.0,3.75,14.01,34.8,34.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17097,Lake County,20.0,2.0,1.0,83816.0,2.0,0.0,16.31,70.6,0.0,0.0,0.0,0.0,129.0,120.0,97.85,16.8,69.4,52.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17099,LaSalle County,24.0,6.0,0.0,53000.0,0.0,0.0,8.07,59.2,0.0,0.0,0.0,0.0,53.0,47.0,15.8,42.86,58.8,44.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17101,Lawrence County,5.0,2.0,0.0,46000.0,0.0,0.0,5.16,53.7,0.0,0.0,0.0,0.0,2.0,2.0,2.06,13.09,25.0,36.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17103,Lee County,19.0,2.0,0.0,45000.0,0.0,0.0,10.07,61.2,0.0,0.0,0.0,0.0,19.0,18.0,9.54,52.72,50.5,43.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17105,Livingston County,15.0,2.0,0.0,16933.0,0.0,0.0,5.54,50.9,0.0,0.0,0.0,0.0,12.0,12.0,4.43,33.51,42.9,35.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17107,Logan County,10.0,1.0,0.0,7000.0,0.0,0.0,6.24,49.1,0.0,0.0,0.0,0.0,7.0,5.0,3.12,17.87,33.0,34.9,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17109,McDonough County,5.0,2.0,1.0,17000.0,21.0,21.0,3.27,48.9,0.0,0.0,0.0,0.0,7.0,7.0,4.58,25.7,38.0,38.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17111,McHenry County,28.0,3.0,0.0,98000.0,0.0,0.0,17.69,70.8,0.0,0.0,0.0,0.0,88.0,76.0,48.02,24.5,64.5,48.9,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17113,McLean County,13.0,1.0,1.0,28016.0,239852.0,189723.0,4.23,64.0,0.0,0.0,0.0,0.0,17.0,14.0,4.56,8.19,38.2,44.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17115,Macon County,8.0,1.0,1.0,46466.0,7683.0,5755.0,5.27,64.2,0.0,0.0,0.0,0.0,28.0,28.0,18.46,26.92,53.5,47.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17117,Macoupin County,8.0,1.0,0.0,5000.0,0.0,0.0,3.56,41.9,0.0,0.0,0.0,0.0,5.0,5.0,2.22,11.12,30.0,30.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17119,Madison County,11.0,3.0,0.0,94539.0,0.0,0.0,5.74,57.4,0.0,0.0,0.0,0.0,66.0,63.0,32.86,23.7,61.4,43.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17121,Marion County,5.0,2.0,0.0,47000.0,0.0,0.0,3.35,49.2,0.0,0.0,0.0,0.0,14.0,13.0,8.71,34.46,46.0,38.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17123,Marshall County,5.0,1.0,0.0,19000.0,0.0,0.0,4.84,49.8,0.0,0.0,0.0,0.0,5.0,5.0,4.84,42.58,38.1,34.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17125,Mason County,2.0,1.0,0.0,1080.0,0.0,0.0,1.37,27.9,0.0,0.0,0.0,0.0,4.0,2.0,1.37,15.28,24.6,22.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17127,Massac County,1.0,1.0,0.0,13000.0,0.0,0.0,1.6,37.9,0.0,0.0,0.0,0.0,5.0,4.0,6.39,28.23,35.9,30.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17129,Menard County,1.0,0.0,0.0,0.0,0.0,0.0,1.22,2.2,0.0,0.0,0.0,0.0,1.0,1.0,1.22,8.13,18.6,6.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17131,Mercer County,5.0,1.0,0.0,4000.0,0.0,0.0,3.39,40.6,0.0,0.0,0.0,0.0,5.0,5.0,3.39,31.85,35.7,28.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17133,Monroe County,5.0,1.0,0.0,6000.0,0.0,0.0,4.85,45.8,0.0,0.0,0.0,0.0,1.0,1.0,0.97,2.86,14.2,25.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17135,Montgomery County,10.0,1.0,0.0,15000.0,0.0,0.0,5.44,50.3,0.0,0.0,0.0,0.0,10.0,8.0,4.35,28.28,39.2,36.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17137,Morgan County,3.0,1.0,0.0,12000.0,0.0,0.0,2.02,39.6,0.0,0.0,0.0,0.0,6.0,5.0,3.37,15.19,32.5,29.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17139,Moultrie County,4.0,0.0,0.0,0.0,0.0,0.0,4.48,14.0,0.0,0.0,0.0,0.0,4.0,4.0,4.48,27.54,34.5,15.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17141,Ogle County,16.0,4.0,0.0,21000.0,0.0,0.0,8.09,56.0,0.0,0.0,0.0,0.0,23.0,21.0,10.62,40.55,51.0,39.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17143,Peoria County,6.0,2.0,1.0,60961.0,286152.0,217255.0,3.67,65.5,0.0,0.0,0.0,0.0,43.0,38.0,23.27,20.9,55.6,49.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17145,Perry County,8.0,1.0,0.0,8000.0,0.0,0.0,6.91,50.7,0.0,0.0,0.0,0.0,5.0,5.0,4.32,23.87,35.2,37.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17147,Piatt County,6.0,1.0,0.0,6000.0,0.0,0.0,5.27,46.7,0.0,0.0,0.0,0.0,2.0,2.0,1.76,12.0,24.2,28.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17149,Pike County,4.0,1.0,0.0,7000.0,0.0,0.0,1.82,36.8,0.0,0.0,0.0,0.0,5.0,5.0,2.27,33.92,34.8,28.9,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17151,Pope County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17153,Pulaski County,2.0,0.0,0.0,0.0,0.0,0.0,3.8,12.3,0.0,0.0,0.0,0.0,1.0,1.0,1.9,19.26,23.2,22.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17155,Putnam County,3.0,0.0,0.0,0.0,0.0,0.0,6.73,18.5,0.0,0.0,0.0,0.0,7.0,5.0,11.21,88.7,44.4,19.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17157,Randolph County,6.0,1.0,0.0,34000.0,0.0,0.0,3.88,49.6,0.0,0.0,0.0,0.0,9.0,7.0,4.53,23.21,37.5,35.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17159,Richland County,2.0,1.0,0.0,6000.0,0.0,0.0,2.13,37.6,0.0,0.0,0.0,0.0,2.0,2.0,2.13,12.65,25.0,26.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17161,Rock Island County,8.0,3.0,1.0,52250.0,395917.0,302705.0,6.84,72.1,0.0,0.0,0.0,0.0,40.0,34.0,29.09,23.5,56.2,53.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17163,St. Clair County,13.0,2.0,2.0,117141.0,2151.0,230.0,7.45,69.9,0.0,0.0,0.0,0.0,48.0,44.0,25.21,17.09,56.2,52.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17165,Saline County,3.0,1.0,0.0,12000.0,0.0,0.0,2.99,43.2,0.0,0.0,0.0,0.0,4.0,4.0,3.99,16.83,32.1,32.9,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17167,Sangamon County,15.0,1.0,1.0,30985.0,64748.0,51046.0,6.6,67.8,0.0,0.0,0.0,0.0,18.0,15.0,6.6,7.64,39.7,46.2,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17169,Schuyler County,1.0,1.0,0.0,1000.0,0.0,0.0,0.87,24.6,0.0,0.0,0.0,0.0,1.0,1.0,0.87,14.49,20.2,22.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17171,Scott County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17173,Shelby County,6.0,2.0,0.0,20000.0,0.0,0.0,3.02,45.1,0.0,0.0,0.0,0.0,3.0,3.0,1.51,14.29,26.8,29.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17175,Stark County,3.0,0.0,0.0,0.0,0.0,0.0,4.02,12.8,0.0,0.0,0.0,0.0,2.0,2.0,2.68,37.04,30.2,14.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17177,Stephenson County,10.0,2.0,0.0,26500.0,0.0,0.0,6.84,54.9,0.0,0.0,0.0,0.0,20.0,19.0,12.99,42.57,51.2,41.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17179,Tazewell County,5.0,2.0,0.0,15000.0,0.0,0.0,2.93,43.8,0.0,0.0,0.0,0.0,27.0,27.0,15.84,20.56,51.5,32.7,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17181,Union County,6.0,0.0,0.0,0.0,0.0,0.0,5.49,16.2,0.0,0.0,0.0,0.0,2.0,1.0,0.91,5.8,16.6,17.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17183,Vermilion County,11.0,1.0,0.0,10000.0,0.0,0.0,4.71,47.3,0.0,0.0,0.0,0.0,42.0,35.0,14.99,47.18,56.8,40.5,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17185,Wabash County,2.0,0.0,0.0,0.0,0.0,0.0,3.39,11.1,0.0,0.0,0.0,0.0,2.0,2.0,3.39,17.6,27.7,14.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17187,Warren County,3.0,1.0,0.0,5000.0,0.0,0.0,2.13,37.0,0.0,0.0,0.0,0.0,5.0,5.0,3.56,29.7,35.5,29.6,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17189,Washington County,2.0,0.0,0.0,0.0,0.0,0.0,1.37,3.1,0.0,0.0,0.0,0.0,4.0,4.0,2.74,29.07,33.2,8.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17191,Wayne County,3.0,1.0,0.0,8000.0,0.0,0.0,1.62,36.3,0.0,0.0,0.0,0.0,4.0,3.0,1.62,18.54,28.1,26.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17193,White County,3.0,1.0,0.0,7000.0,0.0,0.0,2.31,38.9,0.0,0.0,0.0,0.0,2.0,2.0,1.54,14.41,24.6,28.8,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17195,Whiteside County,7.0,2.0,0.0,38720.0,0.0,0.0,3.88,50.0,0.0,0.0,0.0,0.0,28.0,28.0,15.52,50.28,55.5,38.9,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17197,Will County,18.0,5.0,0.0,214300.0,0.0,0.0,8.18,64.4,0.0,0.0,0.0,0.0,141.0,126.0,57.29,18.09,67.9,48.4,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17199,Williamson County,4.0,1.0,1.0,25415.0,11241.0,8023.0,3.48,58.1,0.0,0.0,0.0,0.0,20.0,16.0,13.9,23.83,47.7,42.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17201,Winnebago County,22.0,2.0,1.0,55387.0,98819.0,84910.0,16.36,81.1,0.0,0.0,0.0,0.0,153.0,136.0,101.14,47.66,75.0,61.3,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
17203,Woodford County,7.0,0.0,0.0,0.0,0.0,0.0,4.98,15.1,0.0,0.0,0.0,0.0,7.0,7.0,4.98,18.2,36.8,15.1,2025,2023-2025,FAA airports FeatureServer + Chicago 311 noise requests + EPA TRI facility registry (Illinois)
