OBJECTID,ID,STATE_NAME,ST_ABBREV,ACSTOTPOP,MINORPCT,LOWINCPCT,PM25,OZONE,DSLPM,P_PM25,P_OZONE,P_DSLPM,P_CANCR,P_RESP,P_PTRAF
59464,170010001001,Illinois,IL,1266,0.08688783570300149,0.17377567140600297,8.66451150684932,45.6777901960784,0.273665298001,53.6979293528888,74.916879190482,31.6882867353425,24.3615593567211,23.2543577178386,36.1274315078431
59465,170010001002,Illinois,IL,717,0.18131101813110098,0.365411436541143,8.66451150684932,45.6777901960784,0.273665298001,53.6979293528888,74.916879190482,31.6882867353425,24.3615593567211,23.2543577178386,39.8040120589763
59466,170010001003,Illinois,IL,678,0.237463126843657,0.519174041297935,8.66451150684932,45.6777901960784,0.273665298001,53.6979293528888,74.916879190482,31.6882867353425,24.3615593567211,23.2543577178386,43.6349064299582
59467,170010001004,Illinois,IL,973,0.0565262076053443,0.298047276464542,8.66451150684932,45.6777901960784,0.273665298001,53.6979293528888,74.916879190482,31.6882867353425,24.3615593567211,23.2543577178386,73.9737911409503
59468,170010001005,Illinois,IL,911,0.019758507135016402,0.209659714599341,8.66451150684932,45.6777901960784,0.273665298001,53.6979293528888,74.916879190482,31.6882867353425,24.3615593567211,23.2543577178386,64.0922824415739
59469,170010002011,Illinois,IL,1043,0.16395014381591502,0.310576923076923,8.66040657534247,45.6263522875817,0.290586880742,53.572395312707,74.6166536060853,34.5773624385279,24.9398508921954,22.6410571407757,37.4073721141607
59470,170010002012,Illinois,IL,950,0.08105263157894729,0.450526315789473,8.66040657534247,45.6263522875817,0.290586880742,53.572395312707,74.6166536060853,34.5773624385279,24.9398508921954,22.6410571407757,50.9622994246911
59471,170010002021,Illinois,IL,728,0.07417582417582409,0.19667590027700801,8.68561479452055,45.6462300653595,0.331298943805,54.5182291644339,74.7217404018055,41.1943575446041,26.4391423966039,24.1559989188086,64.9056867010508
59472,170010002022,Illinois,IL,1062,0.131826741996233,0.34745762711864403,8.68561479452055,45.6462300653595,0.331298943805,54.5182291644339,74.7217404018055,41.1943575446041,26.4391423966039,24.1559989188086,44.8645842685341
59473,170010002023,Illinois,IL,575,0.00521739130434782,0.340869565217391,8.68561479452055,45.6462300653595,0.331298943805,54.5182291644339,74.7217404018055,41.1943575446041,26.4391423966039,24.1559989188086,70.9170437329126
59474,170010004001,Illinois,IL,818,0.0819070904645476,0.25830258302583003,8.66080493150685,45.588668627451,0.322412087465,53.5856121461427,74.4162779059344,39.715002876027,26.7605081678759,24.590854034493,47.0623316851502
59475,170010004002,Illinois,IL,1317,0.130599848139711,0.6930775646371969,8.66080493150685,45.588668627451,0.322412087465,53.5856121461427,74.4162779059344,39.715002876027,26.7605081678759,24.590854034493,59.5146830923203
59476,170010004003,Illinois,IL,1080,0.34537037037037005,0.7212962962962961,8.66080493150685,45.588668627451,0.322412087465,53.5856121461427,74.4162779059344,39.715002876027,26.7605081678759,24.590854034493,70.7327682865038
59477,170010004004,Illinois,IL,169,0.0414201183431952,0.31081081081080997,8.66080493150685,45.588668627451,0.322412087465,53.5856121461427,74.4162779059344,39.715002876027,26.7605081678759,24.590854034493,45.3382032370523
59478,170010005001,Illinois,IL,1098,0.13023679417122,0.46425073457394705,8.6791701369863,45.6130111111111,0.342297645886,54.297868272736,74.5340499559951,42.9769462940998,26.9837495519045,24.3921108321034,54.0606710937336
59479,170010005002,Illinois,IL,1083,0.246537396121883,0.606345475910693,8.6791701369863,45.6130111111111,0.342297645886,54.297868272736,74.5340499559951,42.9769462940998,26.9837495519045,24.3921108321034,74.0240827099083
59480,170010006001,Illinois,IL,992,0.227822580645161,0.29839572192513303,8.69346191780822,45.6593797385621,0.358404408062,54.8159764366732,74.8109661867838,45.4574708282976,27.0884833056788,25.1574717589064,76.6077605403703
59481,170010006002,Illinois,IL,808,0.0556930693069306,0.24310776942355802,8.69346191780822,45.6593797385621,0.358404408062,54.8159764366732,74.8109661867838,45.4574708282976,27.0884833056788,25.1574717589064,85.1329090965792
59482,170010006003,Illinois,IL,862,0.0800464037122969,0.520881670533642,8.69346191780822,45.6593797385621,0.358404408062,54.8159764366732,74.8109661867838,45.4574708282976,27.0884833056788,25.1574717589064,86.9841047945571
59483,170010006004,Illinois,IL,553,0.025316455696202497,0.338155515370705,8.69346191780822,45.6593797385621,0.358404408062,54.8159764366732,74.8109661867838,45.4574708282976,27.0884833056788,25.1574717589064,59.0279385114472
59484,170010006005,Illinois,IL,649,0.0338983050847457,0.211446740858505,8.69346191780822,45.6593797385621,0.358404408062,54.8159764366732,74.8109661867838,45.4574708282976,27.0884833056788,25.1574717589064,59.6023075410596
59485,170010007001,Illinois,IL,456,0.168859649122807,0.626760563380281,8.6969301369863,45.6144477124183,0.38026228887,54.9630916527943,74.5442559628482,48.7528377834873,30.3694803487099,26.9900828956757,83.7959086354811
