ST_ABBR,COUNTY,FIPS,E_TOTPOP,EP_POV150,EP_HBURD,EP_NOHSDP,EP_NOVEH,EP_UNEMP,EP_UNINSUR,EP_GROUPQ,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
IL,Kendall,17093,127583,6.7,21.8,7.7,2.5,4.1,4.3,0.3,0.1108,0.5038,0.7027,0.0293,0.1222
IL,Knox,17095,50052,29.0,24.5,11.3,9.7,5.2,5.2,8.7,0.5544,0.4564,0.5115,0.8304,0.6423
IL,Lake,17097,699682,13.6,23.7,9.2,5.0,5.3,6.4,2.7,0.316,0.4188,0.7855,0.5742,0.4663
IL,LaSalle,17099,108998,20.3,21.4,10.4,5.5,6.0,4.0,3.1,0.3304,0.4978,0.4574,0.395,0.3826
IL,Lawrence,17101,15830,24.3,16.9,15.0,3.8,4.6,7.8,15.0,0.4087,0.3291,0.4656,0.7136,0.4806
IL,Lee,17103,34204,19.6,22.2,10.4,9.3,3.3,3.6,9.7,0.1871,0.2683,0.4341,0.6967,0.3189
IL,Livingston,17105,35757,20.7,22.4,10.2,6.2,4.9,4.7,6.2,0.3119,0.4029,0.3552,0.55,0.3806
IL,Logan,17107,28818,17.7,19.4,10.0,5.6,5.7,3.7,13.8,0.2145,0.0347,0.43,0.4539,0.1814
IL,McDonough,17109,30107,30.9,28.2,4.8,10.0,9.1,5.4,10.7,0.6066,0.0264,0.3934,0.8173,0.4612
IL,McHenry,17111,307291,9.9,22.8,6.7,3.8,4.7,4.9,0.6,0.1547,0.2858,0.5439,0.0602,0.1152
IL,McLean,17113,172164,21.6,21.3,3.8,6.4,3.3,4.0,4.8,0.1069,0.0684,0.5621,0.6365,0.2005
IL,Macon,17115,104688,23.9,22.0,8.7,9.6,7.7,4.3,3.5,0.4211,0.4729,0.6146,0.6493,0.5258
IL,Macoupin,17117,45243,22.9,20.4,8.4,4.2,5.5,4.1,2.0,0.2763,0.2212,0.0547,0.1372,0.1388
IL,Madison,17119,264403,19.3,23.2,7.3,5.5,5.4,4.9,2.1,0.2801,0.3059,0.4682,0.2699,0.2581
IL,Marion,17121,37524,26.9,20.7,10.5,6.1,8.8,6.5,2.0,0.5748,0.6308,0.3046,0.5274,0.5547
IL,Marshall,17123,11562,19.2,17.5,7.6,3.9,4.4,4.5,2.4,0.1155,0.1566,0.1445,0.1123,0.0681
IL,Mason,17125,13486,23.7,19.4,10.9,4.5,6.1,5.5,1.7,0.3908,0.3027,0.0286,0.0576,0.1493
IL,Massac,17127,14041,26.0,23.6,11.3,6.3,5.6,7.1,2.3,0.5796,0.345,0.3934,0.7801,0.5856
