"FID","Data_Year","eGRID_subregion_acronym","Plant_annual_net_generation__MW","Plant_annual_CO2_emissions__ton","Plant_annual_coal_net_generatio","Plant_annual_oil_net_generation","Plant_annual_gas_net_generation","Plant_annual_other_fossil_net_g","Plant_annual_nuclear_net_genera","Plant_annual_hydro_net_generati","Plant_annual_biomass_net_genera","Plant_annual_wind_net_generatio","Plant_annual_solar_net_generati"
"1","2023","CAMX","53738",,"0","0","0","0","0","0","0","0","53738"
"2","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"3","2023","CAMX","27194.02","8739.284","0","0","27194.02","0","0","0","0","0","0"
"4","2023","CAMX","3169",,"0","0","0","0","0","0","0","0","3169"
"5","2023","CAMX","3616",,"0","0","0","0","0","0","0","0","3616"
"6","2023","CAMX","3391",,"0","0","0","0","0","0","0","0","3391"
"7","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"8","2023","CAMX","24812","9632.169","0","0","24812","0","0","0","0","0","0"
"9","2023","CAMX",,,,,,,,,,,
"10","2023","CAMX","3283",,"0","0","0","0","0","3283","0","0","0"
"11","2023","NWPP","2309",,"0","0","0","0","0","0","0","0","2309"
"12","2023","CAMX",,,,,,,,,,,
"13","2023","CAMX","1974",,"0","0","0","0","0","0","0","0","1974"
"14","2023","CAMX","6725",,"0","0","0","0","0","0","0","0","6725"
"15","2023","CAMX","184360",,"0","0","0","0","0","184360","0","0","0"
"16","2023","CAMX","489703",,"0","0","0","0","0","489703","0","0","0"
"17","2023","CAMX","20405","14438.49","0","0","20405","0","0","0","0","0","0"
"18","2023","CAMX","47358",,"0","0","0","0","0","0","0","0","47358"
"19","2023","CAMX","44864",,"0","0","0","0","0","0","0","0","44864"
"20","2023","CAMX","45578",,"0","0","0","0","0","0","0","0","45578"
"21","2023","CAMX","-1269",,"0","0","0","0","0","0","0","0","0"
"22","2023","CAMX","119893",,"0","0","0","0","0","0","0","0","119893"
"23","2023","CAMX","97186",,"0","0","0","0","0","0","0","0","97186"
"24","2023","CAMX","5562",,"0","0","0","0","0","5562","0","0","0"
"25","2023","CAMX","3873",,"0","0","0","0","0","0","0","0","3873"
"26","2023","CAMX","47775","18853.35","0","0","47775","0","0","0","0","0","0"
"27","2023","CAMX","2713",,"0","0","0","0","0","2713","0","0","0"
"28","2023","CAMX","1865.003","1564.794","0","0","1865","0","0","0","0","0","0"
"29","2023","CAMX","82660",,"0","0","0","0","0","82660","0","0","0"
"30","2023","CAMX","5825",,"0","0","5825","0","0","0","0","0","0"
"31","2023","CAMX","227786",,"0","0","0","0","0","227786","0","0","0"
"32","2023","CAMX","1325",,"0","0","0","0","0","0","0","0","1325"
"33","2023","CAMX",,,,,,,,,,,
"34","2023","CAMX","24008","7759.488","0","0","24008","0","0","0","0","0","0"
"35","2023","CAMX","124671","40030.67","0","0","124671","0","0","0","0","0","0"
"36","2023","CAMX","71742","39256.43","0","0","71742","0","0","0","0","0","0"
"37","2023","CAMX","14822","4899.199","0","0","14822","0","0","0","0","0","0"
"38","2023","CAMX","11189",,"0","0","0","0","0","11189","0","0","0"
"39","2023","CAMX","7855",,"0","0","0","0","0","0","0","0","7855"
"40","2023","CAMX","393801",,"0","0","0","0","0","393801","0","0","0"
"41","2023","CAMX","296174",,"0","0","0","0","0","296174","0","0","0"
"42","2023","CAMX","506047",,"0","0","0","0","0","506047","0","0","0"
"43","2023","CAMX","377227",,"0","0","0","0","0","377227","0","0","0"
"44","2023","CAMX","450605",,"0","0","0","0","0","450605","0","0","0"
"45","2023","CAMX","152879",,"0","0","0","0","0","152879","0","0","0"
"46","2023","CAMX","10056",,"0","0","0","0","0","10056","0","0","0"
"47","2023","CAMX","8980",,"0","0","0","0","0","8980","0","0","0"
"48","2023","CAMX",,,,,,,,,,,
"49","2023","CAMX","242957",,"0","0","0","0","0","0","0","0","245753"
"50","2023","CAMX","3344",,"0","0","0","0","0","0","0","0","3344"
"51","2023","CAMX","11153","3328.097","0","0","11159","0","0","0","0","0","0"
"52","2023","CAMX","35633",,"0","0","0","0","0","35633","0","0","0"
"53","2023","CAMX","26216",,"0","0","0","0","0","26216","0","0","0"
"54","2023","CAMX","49822",,"0","0","0","0","0","49822","0","0","0"
"55","2023","CAMX","13702",,"0","0","0","0","0","13702","0","0","0"
"56","2023","CAMX","9624",,"0","0","0","0","0","9624","0","0","0"
"57","2023","CAMX","1608.999",,"0","0","0","0","0","0","0","0","1609"
"58","2023","CAMX",,,,,,,,,,,
"59","2023","CAMX","20217",,"0","0","0","0","0","20217","0","0","0"
"60","2023","CAMX","6887",,"0","0","0","0","0","0","0","0","6887"
"61","2023","CAMX","45092","43167.48","0","0","45092","0","0","0","0","0","0"
"62","2023","CAMX","40102",,"0","0","0","0","0","0","0","0","40102"
"63","2023","CAMX",,,,,,,,,,,
"64","2023","CAMX","2988",,"0","0","0","0","0","0","0","0","2988"
"65","2023","NWPP","1864",,"0","0","0","0","0","0","0","0","1864"
"66","2023","CAMX","1546542","743198.1","0","0","1546542","0","0","0","0","0","0"
"67","2023","CAMX","590179",,"0","0","0","0","0","0","0","0","602802"
"68","2023","CAMX","584190",,"0","0","0","0","0","0","0","0","593456"
"69","2023","CAMX","311914",,"0","0","0","0","0","0","0","0","323464"
"70","2023","CAMX","296116",,"0","0","0","0","0","0","0","0","309133"
"71","2023","CAMX","296782",,"0","0","0","0","0","0","0","0","304136"
"72","2023","CAMX","4075",,"0","0","0","0","0","0","0","0","4075"
"73","2023","CAMX","93",,"0","0","0","0","0","0","0","0","93"
"74","2023","CAMX","119939",,"0","0","0","0","0","0","0","0","119939"
"75","2023","CAMX","-44",,"0","0","0","0","0","0","0","0","0"
"76","2023","CAMX",,,,,,,,,,,
"77","2023","CAMX","161144","0","0","0","0","0","0","0","161144","0","0"
"78","2023","CAMX","15325",,"0","0","0","0","0","15325","0","0","0"
"79","2023","NWPP","17315",,"0","0","0","0","0","17315","0","0","0"
"80","2023","CAMX","247015.3","0","0","0","0","0","0","0","247015.3","0","0"
"81","2023","CAMX","19346","11653.81","0","0","18098","0","0","0","0","0","1248"
"82","2023","CAMX","3714",,"0","0","0","0","0","0","0","0","3714"
"83","2023","CAMX","1220",,"0","0","0","0","0","0","0","0","1220"
"84","2023","CAMX","2547",,"0","0","0","0","0","0","0","0","2547"
"85","2023","CAMX","3079",,"0","0","0","0","0","0","0","0","3079"
"86","2023","CAMX","220358",,"0","0","0","0","0","0","0","220358","0"
"87","2023","CAMX","72217",,"0","0","0","0","0","72217","0","0","0"
"88","2023","CAMX","90890",,"0","0","0","0","0","0","0","90890","0"
"89","2023","CAMX","899",,"0","0","0","0","0","0","0","0","899"
"90","2023","CAMX","2230",,"0","0","0","0","0","0","0","0","2230"
"91","2023","CAMX","2074",,"0","0","0","0","0","0","0","0","2074"
"92","2023","CAMX","6200",,"0","0","0","0","0","6200","0","0","0"
"93","2023","CAMX","186654","8144.503","0","0","7318.877","0","0","0","179335.1","0","0"
"94","2023","CAMX","146546",,"0","0","0","0","0","146546","0","0","0"
"95","2023","CAMX","6671",,"0","0","0","0","0","0","0","0","6671"
"96","2023","CAMX","12752",,"0","0","0","0","0","0","0","0","12752"
"97","2023","CAMX","36388",,"0","0","0","0","0","0","0","0","0"
"98","2023","CAMX","5399",,"0","0","0","0","0","0","0","0","5399"
"99","2023","CAMX","462",,"0","0","0","0","0","0","0","0","462"
"100","2023","CAMX","1825",,"0","0","0","0","0","0","0","0","1825"
"101","2023","AKMS","24073",,"0","0","0","0","0","0","0","24073","0"
"102","2023","AKMS","1898","1532.231","0","1898","0","0","0","0","0","0","0"
"103","2023","AKMS",,,,,,,,,,,
"104","2023","AKMS","19154",,"0","0","0","0","0","19154","0","0","0"
"105","2023","AKMS","12485",,"0","0","0","0","0","12485","0","0","0"
"106","2023","AKMS","2409","1482.916","0","2409","0","0","0","0","0","0","0"
"107","2023","AKMS","-140","24928.82","0","-140","0","0","0","0","0","0","0"
"108","2023","AKMS","28811",,"0","0","0","0","0","28811","0","0","0"
"109","2023","AKMS","3301","2644.244","0","3067","0","0","0","0","0","234","0"
"110","2023","AKMS","2410.001","1868.135","0","2410","0","0","0","0","0","0","0"
"111","2023","AKMS","1844.001","1493.258","0","1844","0","0","0","0","0","0","0"
"112","2023","AKMS","2790","2210.124","0","2790","0","0","0","0","0","0","0"
"113","2023","AKGD","17","12.576","0","17","0","0","0","0","0","0","0"
"114","2023","AKGD","507","661.552","0","507","0","0","0","0","0","0","0"
"115","2023","AKMS","1766","1492.144","0","1766","0","0","0","0","0","0","0"
"116","2023","AKMS","1746","1257.936","0","1746","0","0","0","0","0","0","0"
"117","2023","AKMS","11460",,"0","0","0","0","0","11460","0","0","0"
"118","2023","AKMS","4023","1746.197","0","2080","0","0","0","1943","0","0","0"
"119","2023","AKMS","1287","1198.647","0","1287","0","0","0","0","0","0","0"
"120","2023","AKMS",,,,,,,,,,,
"121","2023","AKMS","302088",,"0","0","0","0","0","302088","0","0","0"
"122","2023","AKGD","21614","12910.51","0","0","22745","0","0","0","0","0","0"
"123","2023","AKMS","33930",,"0","0","0","0","0","33930","0","0","0"
"124","2023","AKMS","5437",,"0","0","0","0","0","5437","0","0","0"
"125","2023","AKGD","905296","456583.3","0","0","905296","0","0","0","0","0","0"
"126","2023","AKMS","5860","3380.598","0","5860","0","0","0","0","0","0","0"
"127","2023","AKMS",,,,,,,,,,,
"128","2023","AKMS","3531","2673.152","0","3531","0","0","0","0","0","0","0"
"129","2023","AKMS","0",,"0","0","0","0","0","0","0","0","0"
"130","2023","AKGD","70593",,"0","0","0","0","0","70593","0","0","0"
"131","2023","AKMS","50476","39997.27","0","0","50476","0","0","0","0","0","0"
"132","2023","AKMS","-324.999","6.896","0","0","-325","0","0","0","0","0","0"
"133","2023","AKMS","137666",,"0","0","0","0","0","137666","0","0","0"
"134","2023","AKGD","69211","20190.46","0","35.715","69175.28","0","0","0","0","0","0"
"135","2023","AKMS","0",,"0","0","0","0","0","0","0","0","0"
"136","2023","AKMS","3159.001","2423.508","0","3159","0","0","0","0","0","0","0"
"137","2023","AKMS","11287","8829.714","0","11287","0","0","0","0","0","0","0"
"138","2023","AKMS","3854.999","2859.263","0","3855","0","0","0","0","0","0","0"
"139","2023","AKMS","119089",,"0","0","0","0","0","119089","0","0","0"
"140","2023","AKMS","3037","2552.864","0","3037","0","0","0","0","0","0","0"
"141","2023","AKMS","33","34.543","0","33","0","0","0","0","0","0","0"
"142","2023","AKMS","29613","26089.25","0","29613","0","0","0","0","0","0","0"
"143","2023","AKGD","68556.78","41783.22","67105.47","1294.85","156.461","0","0","0","0","0","0"
"144","2023","AKMS","1515","1183.756","0","1515","0","0","0","0","0","0","0"
"145","2023","AKGD","64020","41891.32","64020","0","0","0","0","0","0","0","0"
"146","2023","AKMS","8704.001","7475.012","0","8704","0","0","0","0","0","0","0"
"147","2023","AKMS","24008","16129.38","0","24008","0","0","0","0","0","0","0"
"148","2023","AKMS",,,,,,,,,,,
"149","2023","AKMS","18573.52","7594.591","0","18573.52","0","0","0","0","0","0","0"
"150","2023","AKMS","10557",,"0","0","0","0","0","10557","0","0","0"
"151","2023","AKMS","889.999","537.833","0","890","0","0","0","0","0","0","0"
"152","2023","AKMS","6238","4800.715","0","6238","0","0","0","0","0","0","0"
"153","2023","SRSO","83","26.601","0","0","51.471","31.529","0","0","0","0","0"
"154","2023","SRSO","46300","31277.3","0","0","46300","0","0","0","0","0","0"
"155","2023","SRSO","10742",,"0","0","0","0","0","0","0","0","10742"
"156","2023","SRSO","388270.4","15268.51","0","0","20184.87","0","0","0","368085.5","0","0"
"157","2023","SRSO","302916.1","35002.65","0","6936.46","40622.29","0","0","0","255357.3","0","0"
"158","2023","SRTV","0",,"0","0","0","0","0","0","0","0","0"
"159","2023","SRSO","138682",,"0","0","0","0","0","138682","0","0","0"
"160","2023","SRSO","8675796","5492460","1529006","0","7146790","0","0","0","0","0","0"
"161","2023","SRSO","396970",,"0","0","0","0","0","396970","0","0","0"
"162","2023","SRTV",,,,,,,,,,,
"163","2023","SRSO","201925",,"0","0","0","0","0","0","0","0","201925"
"164","2023","SRTV","30820510",,"0","0","0","0","30820510","0","0","0","0"
"165","2023","SRSO","25537","29578.85","0","10970.79","14566.21","0","0","0","0","0","0"
"166","2023","SRSO","4769712","2112409","0","0","4769712","0","0","0","0","0","0"
"167","2023","SRSO","1341342","646064.6","0","0","1341342","0","0","0","0","0","0"
"168","2023","SRTV","78686","37420.82","0","0","78686","0","0","0","0","0","0"
"169","2023","SRSO",,,,,,,,,,,
"170","2023","SRTV","28614",,"0","0","0","0","0","0","0","0","28614"
"171","2023","SRTV","2124846","925564.1","0","0","2124846","0","0","0","0","0","0"
"172","2023","SRTV","10736","0","0","0","0","0","0","0","10736","0","0"
"173","2023","SRSO","6460477","2664889","0","0","6460477","0","0","0","0","0","0"
"174","2023","SRSO","3399765","3277111","1745277","108","1654380","0","0","0","0","0","0"
"175","2023","SRSO","13869",,"0","0","0","0","0","0","0","0","13869"
"176","2023","SRSO","4518",,"0","0","0","0","0","4518","0","0","0"
"177","2023","SRSO","490545.3","92486.73","0","0","230190.7","0","0","0","260354.5","0","0"
"178","2023","SRSO","283727","15230.4","0","555.243","32294.7","0","0","0","250877.1","0","0"
"179","2023","SRSO","99370",,"0","0","0","0","0","99370","0","0","0"
"180","2023","SRSO","1396260","877874.8","0","726.04","1395534","0","0","0","0","0","0"
"181","2023","SRTV","453373",,"0","0","0","0","0","453373","0","0","0"
"182","2023","SRSO","196724",,"0","0","0","0","0","196724","0","0","0"
"183","2023","SRSO","128932",,"0","0","0","0","0","128932","0","0","0"
"184","2023","SRSO","4078887","1780385","0","0","4078887","0","0","0","0","0","0"
"185","2023","SRSO","1510597","678208.5","0","0","1510597","0","0","0","0","0","0"
"186","2023","SRSO","154493",,"0","0","0","0","0","154493","0","0","0"
"187","2023","SRSO","448819","1321.328","0","1958.82","119.453","0","0","0","446740.7","0","0"
"188","2023","SRSO","610729.3","20919.31","0","0","156264.3","0","0","0","454465","0","0"
"189","2023","SRSO","462678.3","115263.5","0","0","372133.4","0","0","0","90544.88","0","0"
"190","2023","SRSO","15846090","18109180","15701410","0","144680.2","0","0","0","0","0","0"
"191","2023","SRSO","267212",,"0","0","0","0","0","267212","0","0","0"
"192","2023","SRSO","263302",,"0","0","0","0","0","263302","0","0","0"
"193","2023","SRSO","14758530",,"0","0","0","0","14758530","0","0","0","0"
"194","2023","SRSO","365514.5","212983.7","0","0","365514.5","0","0","0","0","0","0"
"195","2023","SRSO","164839",,"0","0","0","0","0","0","0","0","164839"
"196","2023","SRSO","454677",,"0","0","0","0","0","454677","0","0","0"
"197","2023","SRSO","233391",,"0","0","0","0","0","233391","0","0","0"
"198","2023","SRSO","343509",,"0","0","0","0","0","343509","0","0","0"
"199","2023","SRSO","326570",,"0","0","0","0","0","326570","0","0","0"
"200","2023","SRSO","745691","498577.3","0","245.438","745445.6","0","0","0","0","0","0"
"201","2023","SRSO","3342941","1597627","0","406.029","3342535","0","0","0","0","0","0"
"202","2023","SRSO","705660","47905.89","0","1047.732","198554.2","0","0","0","506058.1","0","0"
"203","2023","SRSO","315281",,"0","0","0","0","0","315281","0","0","0"
"204","2023","SRSO","409418",,"0","0","0","0","0","409418","0","0","0"
"205","2023","SRTV","5422456","2138769","0","0","5422456","0","0","0","0","0","0"
"206","2023","SRTV","448853.4",,"0","0","0","0","0","0","0","0","448853.4"
"207","2023","SRSO","163033",,"0","0","0","0","0","0","0","0","163033"
"208","2023","SRSO","158420.7","21805.49","0","510.748","65867.49","0","0","0","92042.45","0","0"
"209","2023","SRSO","13682170","5592226","0","0","13682170","0","0","0","0","0","0"
"210","2023","SRSO","16133",,"0","0","0","0","0","16133","0","0","0"
"211","2023","SRTV","15523",,"0","0","0","0","0","0","0","0","15616"
"212","2023","SRTV","153231",,"0","0","0","0","0","0","0","0","153231"
"213","2023","SRSO","514101","155830","0","0","514101","0","0","0","0","0","0"
"214","2023","SRTV","30626","0.001","0","0","0","0","0","0","30626","0","0"
"215","2023","SRSO","0","0","0","0","0","0","0","0","0","0","0"
"216","2023","SRSO","2712170","1177256","0","0","2712170","0","0","0","0","0","0"
"217","2023","SRSO","1584807","569454.8","0","0","1584807","0","0","0","0","0","0"
"218","2023","SRSO","222194",,"0","0","0","0","0","222194","0","0","0"
"219","2023","SRSO","139284","14174.29","0","0","39931.46","0","0","0","99352.54","0","0"
"220","2023","SRSO","47637","14744.59","0","0","47637","0","0","0","0","0","0"
"221","2023","SRSO","514504",,"0","0","0","0","0","514504","0","0","0"
"222","2023","SRSO","195","0","0","0","195","0","0","0","0","0","0"
"223","2023","SRSO","862164","262307.9","0","0","862164","0","0","0","0","0","0"
"224","2023","SRSO","183203",,"0","0","0","0","0","183203","0","0","0"
"225","2023","SRSO","290729.5","8507.177","0","326.777","14427.99","0","0","0","275974.8","0","0"
"226","2023","SRSO","29510.02","0","0","0","0","0","0","0","29510.02","0","0"
"227","2023","SRTV","1072652",,"0","0","0","0","0","1072652","0","0","0"
"228","2023","SRTV","2115836",,"0","0","0","0","0","2115836","0","0","0"
"229","2023","SRSO","118777",,"0","0","0","0","0","118777","0","0","0"
"230","2023","SRSO","0",,"0","0","0","0","0","0","0","0","0"
"231","2023","SPSO","0",,"0","0","0","0","0","0","0","0","0"
"232","2023","SRMV","14972480",,"0","0","0","0","14972480","0","0","0","0"
"233","2023","SPSO","496211.9","48053.91","33329.44","0","70918.51","6914.374","0","0","385049.6","0","0"
"234","2023","SRMV","2213",,"0","0","0","0","0","0","0","0","2213"
"235","2023","SPSO","117665",,"0","0","0","0","0","117665","0","0","0"
"236","2023","SRMV","1837",,"0","0","0","0","0","0","0","0","1837"
"237","2023","SRMV","9687",,"0","0","0","0","0","0","0","0","9687"
"238","2023","SRMV","234890",,"0","0","0","0","0","234890","0","0","0"
"239","2023","SPSO","9911",,"0","0","0","0","0","0","0","0","9911"
"240","2023","SPSO","750451",,"0","0","0","0","0","750451","0","0","0"
"241","2023","SRMV","2200",,"0","0","0","0","0","0","0","0","2200"
"242","2023","SRMV",,"0",,,,,,,,,
"243","2023","SRMV","150636",,"0","0","0","0","0","150636","0","0","0"
"244","2023","SRMV","205053",,"0","0","0","0","0","0","0","0","205053"
"245","2023","SPSO","84733","52229","0","5.943","84727.05","0","0","0","0","0","0"
"246","2023","SPSO","0",,"0","0","0","0","0","0","0","0","0"
"247","2023","SRMV","2835",,"0","0","0","0","0","0","0","0","2835"
"248","2023","SRMV","2290",,"0","0","0","0","0","0","0","0","2290"
"249","2023","SRMV","110715","14437.27","0","83.651","40242.53","0","0","0","70388.82","0","0"
"250","2023","SRMV","2315",,"0","0","0","0","0","0","0","0","2315"
"251","2023","SRMV","0",,"0","0","0","0","0","0","0","0","0"
"252","2023","SRMV","342284",,"0","0","0","0","0","342284","0","0","0"
"253","2023","SPSO","426200",,"0","0","0","0","0","426200","0","0","0"
"254","2023","SRMV","201064",,"0","0","0","0","0","201064","0","0","0"
"255","2023","SRMW","4087322","1863067","0","5815.515","4081507","0","0","0","0","0","0"
"256","2023","SPSO","25202","17546.51","0","0","25202","0","0","0","0","0","0"
"257","2023","SPSO","123756",,"0","0","0","0","0","123756","0","0","0"
"258","2023","SRMV","1296.49",,"0","0","0","0","0","0","0","0","1296.49"
"259","2023","SRMV","2225",,"0","0","0","0","0","0","0","0","2225"
"260","2023","SPSO","0",,"0","0","0","0","0","0","0","0","0"
"261","2023","SPSO","0",,"0","0","0","0","0","0","0","0","0"
"262","2023","SPSO","2065083","2491950","2059504","5579.503","0","0","0","0","0","0","0"
"263","2023","SRMV","2110",,"0","0","0","0","0","0","0","0","2110"
"264","2023","SRMV","2066",,"0","0","0","0","0","0","0","0","2066"
"265","2023","SRMV","0",,"0","0","0","0","0","0","0","0","0"
"266","2023","SPSO","148802","93497.19","0","0","148802","0","0","0","0","0","0"
"267","2023","SRMV","3373",,"0","0","0","0","0","0","0","0","3373"
"268","2023","SRMV","6407.122","2125.082","0","0","6407.122","0","0","0","0","0","0"
"269","2023","SPSO","209665",,"0","0","0","0","0","209665","0","0","0"
"270","2023","SRMV","34851",,"0","0","0","0","0","0","0","0","34851"
"271","2023","SPSO","177190","132853.3","0","0","177190","0","0","0","0","0","0"
"272","2023","SRMV","2172773","950592.8","0","0","2172773","0","0","0","0","0","0"
"273","2023","SRMV","1683",,"0","0","0","0","0","0","0","0","1683"
"274","2023","SRMV","4743250","6086795","4734677","8573.154","0","0","0","0","0","0","0"
"275","2023","SPSO","3112401","3166856","3098790","0","13611.53","0","0","0","0","0","0"
"276","2023","SPSO","0",,"0","0","0","0","0","0","0","0","0"
"277","2023","SPSO","0",,"0","0","0","0","0","0","0","0","0"
"278","2023","SRMV","169122","110584","0","0","169122","0","0","0","0","0","0"
"279","2023","SRMV","0",,"0","0","0","0","0","0","0","0","0"
"280","2023","SRMV","3377782","1392160","0","0","3377782","0","0","0","0","0","0"
"281","2023","SRMV","41108","28488.87","0","0","41108","0","0","0","0","0","0"
"282","2023","SRMV","0",,"0","0","0","0","0","0","0","0","0"
"283","2023","SRMV","142385",,"0","0","0","0","0","142385","0","0","0"
"284","2023","SPSO","46682",,"0","0","0","0","0","46682","0","0","0"
"285","2023","SRMV","80876",,"0","0","0","0","0","0","0","0","80876"
"286","2023","SPSO","8381",,"0","0","0","0","0","0","0","0","8634"
"287","2023","SPSO","99274",,"0","0","0","0","0","99274","0","0","0"
"288","2023","SRMV","0",,"0","0","0","0","0","0","0","0","0"
"289","2023","SRMV","941018","426961.8","0","0","941018","0","0","0","0","0","0"
"290","2023","SPSO","253118",,"0","0","0","0","0","253118","0","0","0"
"291","2023","SPSO","1340",,"0","0","0","0","0","0","0","0","1340"
"292","2023","SPSO","648.999","379.362","0","0","649","0","0","0","0","0","0"
"293","2023","SPSO","3258",,"0","0","0","0","0","0","0","0","3258"
"294","2023","SPSO","161","131.384","0","0","161","0","0","0","0","0","0"
"295","2023","SRMV","1213353","410784.6","0","0","1213353","0","0","0","0","0","0"
"296","2023","SRMV","289037","25449.79","0","0","57514.34","0","0","0","231522.7","0","0"
"297","2023","SRMV","3381761","3692584","3371290","10470.89","0","0","0","0","0","0","0"
"298","2023","SRMV","39661",,"0","0","0","0","0","39661","0","0","0"
"299","2023","SRMV","0",,"0","0","0","0","0","0","0","0","0"
"300","2023","SRMV","22053",,"0","0","0","0","0","0","0","0","22053"
"301","2023","CAMX","8700",,"0","0","8700","0","0","0","0","0","0"
"302","2023","CAMX","5844",,"0","0","5844","0","0","0","0","0","0"
"303","2023","CAMX","7082",,"0","0","7082","0","0","0","0","0","0"
"304","2023","CAMX","6962",,"0","0","6962","0","0","0","0","0","0"
"305","2023","CAMX","6510",,"0","0","6510","0","0","0","0","0","0"
"306","2023","CAMX","8302",,"0","0","8302","0","0","0","0","0","0"
"307","2023","CAMX","7181",,"0","0","7181","0","0","0","0","0","0"
"308","2023","CAMX","3514",,"0","0","3514","0","0","0","0","0","0"
"309","2023","CAMX","6985",,"0","0","6985","0","0","0","0","0","0"
"310","2023","CAMX","6608",,"0","0","6608","0","0","0","0","0","0"
"311","2023","CAMX","7208",,"0","0","7208","0","0","0","0","0","0"
"312","2023","CAMX","7311",,"0","0","7311","0","0","0","0","0","0"
"313","2023","CAMX","567726",,"0","0","0","0","0","0","0","0","567726"
"314","2023","CAMX","8205",,"0","0","0","0","0","0","0","0","8205"
"315","2023","CAMX","17314","0","0","0","0","0","0","0","17314","0","0"
"316","2023","CAMX","-154",,"0","0","0","0","0","0","0","0","0"
"317","2023","NWPP","3076",,"0","0","0","0","0","0","0","0","3076"
"318","2023","CAMX","17018",,"0","0","0","0","0","0","0","0","17018"
"319","2023","CAMX","3530",,"0","0","0","0","0","0","0","0","3530"
"320","2023","CAMX","54867",,"0","0","0","0","0","0","0","0","54867"
"321","2023","CAMX","27369",,"0","0","0","0","0","0","0","0","27369"
"322","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"323","2023","CAMX","39000",,"0","0","0","0","0","0","0","0","39000"
"324","2023","CAMX","23649","7771.629","0","0","23649","0","0","0","0","0","0"
"325","2023","CAMX","5891",,"0","0","0","0","0","0","0","0","5891"
"326","2023","CAMX","3739",,"0","0","0","0","0","0","0","0","3739"
"327","2023","CAMX",,,,,,,,,,,
"328","2023","CAMX","35748","21509.22","0","0","35748","0","0","0","0","0","0"
"329","2023","CAMX","1519",,"0","0","0","0","0","0","0","0","1519"
"330","2023","CAMX","10221","6739.2","0","0","10221","0","0","0","0","0","0"
"331","2023","CAMX","77312","3432.646","0","0","0","0","0","0","0","0","0"
"332","2023","CAMX","3906","4121.508","0","0","3906","0","0","0","0","0","0"
"333","2023","CAMX","91319",,"0","0","0","0","0","91319","0","0","0"
"334","2023","CAMX","43709",,"0","0","0","0","0","0","0","0","43709"
"335","2023","CAMX","14879","9067.842","0","0","14879","0","0","0","0","0","0"
"336","2023","CAMX","17690",,"0","0","0","0","0","0","0","0","17690"
"337","2023","CAMX","45473",,"0","0","0","0","0","0","0","0","45473"
"338","2023","CAMX",,,,,,,,,,,
"339","2023","CAMX","9556",,"0","0","0","0","0","0","0","0","9556"
"340","2023","CAMX","188375","116798.6","0","0","188375","0","0","0","0","0","0"
"341","2023","CAMX","71663",,"0","0","0","0","0","0","0","0","71663"
"342","2023","CAMX","22384",,"0","0","0","0","0","0","0","0","22384"
"343","2023","CAMX","160957",,"0","0","0","0","0","0","0","0","160957"
"344","2023","CAMX","2524",,"0","0","0","0","0","2524","0","0","0"
"345","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"346","2023","CAMX","360984",,"0","0","0","0","0","0","0","360984","0"
"347","2023","CAMX","299672",,"0","0","0","0","0","0","0","299672","0"
"348","2023","CAMX","302613",,"0","0","0","0","0","0","0","302613","0"
"349","2023","CAMX","147808",,"0","0","0","0","0","0","0","147808","0"
"350","2023","CAMX","238061",,"0","0","0","0","0","0","0","238061","0"
"351","2023","CAMX","186410",,"0","0","0","0","0","0","0","186410","0"
"352","2023","CAMX","336516",,"0","0","0","0","0","0","0","336516","0"
"353","2023","CAMX","247648",,"0","0","0","0","0","0","0","247648","0"
"354","2023","CAMX","3090","1906.753","0","0","3090","0","0","0","0","0","0"
"355","2023","CAMX","39367","0.001","0","0","0","0","0","0","39367","0","0"
"356","2023","CAMX","1560",,"0","0","0","0","0","0","0","0","1560"
"357","2023","CAMX","2197",,"0","0","0","0","0","0","0","0","2197"
"358","2023","CAMX","3635",,"0","0","0","0","0","0","0","0","3635"
"359","2023","CAMX","7514",,"0","0","0","0","0","0","0","0","7514"
"360","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"361","2023","CAMX","0",,"0","0","0","0","0","0","0","0","0"
"362","2023","CAMX","16031","0","0","0","0","0","0","0","16031","0","0"
"363","2023","CAMX","32615","0.001","0","0","0","0","0","0","32615","0","0"
"364","2023","CAMX","32098","0","0","0","0","0","0","0","32098","0","0"
"365","2023","CAMX","9302","0","0","0","0","0","0","0","9302","0","0"
"366","2023","CAMX","28699","0","0","0","0","0","0","0","28699","0","0"
"367","2023","CAMX","87043","0","0","0","0","0","0","0","87043","0","0"
"368","2023","CAMX","30903","0","0","0","0","0","0","0","30903","0","0"
"369","2023","CAMX","18779","0","0","0","0","0","0","0","18779","0","0"
"370","2023","CAMX","31473","0","0","0","0","0","0","0","31473","0","0"
"371","2023","CAMX","6642",,"0","0","0","0","0","0","0","0","6642"
"372","2023","CAMX","270014",,"0","0","0","0","0","0","0","0","270014"
"373","2023","CAMX","10501","44.064","0","0","16.974","0","0","0","10484.03","0","0"
"374","2023","CAMX","2914",,"0","0","0","0","0","0","0","0","2914"
